"Record ID","Offense Code","Offense Ext","Offense Category","Description","Police District","Beat","Grid","Occurence Date","Occurence Time"
"1073977","5213","5","WEAPON OFFENSE","246.3(A) PC NEGL DISCH FIREARM","2","2B","0541","01/01/2015","00:00:03"
"1074004","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","1","1B","0401","01/01/2015","00:03:00"
"1074012","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","6","6C","1113","01/01/2015","00:13:00"
"1074021","1299","0","ROBBERY","211 PC ROBBERY-UNSPECIFIED","4","4B","0969","01/01/2015","00:01:13"
"1074023","3599","35","NARCOTICS","11378 HS POSS CNTRL SUB/SALE","3","3A","0706","01/01/2015","00:06:43"
"1074024","3599","61","NARCOTICS","11350(A) POSS CONTROLLED SUBST","6","6A","1042","01/01/2015","00:07:11"
"1074025","5311","5","PUBLIC PEACE","647(F) PC DIP - DISORDERLY","6","6C","1131","01/01/2015","00:07:55"
"1074026","2699","23","FRAUD","498(B)(2) TAMPER W/UTILITIES","3","3B","0766","01/01/2015","00:09:24"
"1074028","1299","2","ROBBERY","211 PC ROBBERY-BUSINESS","3","3M","0742","01/01/2015","00:12:15"
"1074068","2803","04","STOLEN PROP","496D(A) PURCH STLN VEH-FEL","5","5C","1605","01/01/2015","00:11:47"
"1074104","3599","22","NARCOTICS","11364 HS POSS DRUG PARAPH","2","2A","0506","01/01/2015","00:20:01"
"1074123","4801","0","OBSTRUCTING","148(A)(1)PC RESIST PEACE OFFCR","6","6A","1071","01/01/2015","00:16:28"
"1074171","5404","000","TRAFFIC","23152(A) DUI ALCOHOL","5","5B","1603","01/01/2015","00:04:07"
"1074174","3562","01","NARCOTICS","11357(C)HS POSS +28.5GR MARIJ","4","4C","1262","01/01/2015","00:04:19"
"1074175","2303","2","LARCENY","487(A) GRAND THEFT-SHOPLIFT","3","3M","0742","01/01/2015","00:18:05"
"1074178","3599","22","NARCOTICS","11364 HS POSS DRUG PARAPH","4","4B","1354","01/01/2015","00:20:19"
"1074179","3572","0","NARCOTICS","11377(A)HS POSS AMPHETAMINES","3","3B","0748","01/01/2015","00:21:49"
"1074180","3599","63","NARCOTICS","11377(A) POSS DANGEROUS DRUG","6","6B","1086","01/01/2015","00:22:39"
"1074198","7399","36B","SAC CITY CODE","9.16.140B TRESPASS AFTR NOTICE","5","5B","1633","01/02/2015","00:01:45"
"1074200","1315","15","AGG ASSAULT","244 PC ASSAULT W/ CAUST CHEMIC","4","4A","0905","01/01/2015","00:01:44"
"1074201","2203","0","BURGLARY","459 PC BURG BUSINESS-FORCE","4","4C","1227","01/01/2015","00:03:11"
"1074203","1315","19","AGG ASSAULT","245(A)(1)AWDW-NON-FIREARM","4","4C","1301","01/01/2015","00:02:30"
"1074206","2203","0","BURGLARY","459 PC BURG BUSINESS-FORCE","1","1C","0408","01/01/2015","00:03:45"
"1074207","1315","20","AGG ASSAULT","245(A)(2) AWDW-FIREARM","5","5A","1394","01/01/2015","00:04:25"
"1074215","2203","0","BURGLARY","459 PC BURG BUSINESS-FORCE","1","1C","0408","01/01/2015","00:03:50"
"1074225","2203","0","BURGLARY","459 PC BURG BUSINESS-FORCE","4","4A","0909","01/01/2015","00:07:33"
"1074226","2202","0","BURGLARY","459 PC BURG RESIDENCE-FORCE","4","4C","1274","01/01/2015","00:23:01"
"1074229","2202","0","BURGLARY","459 PC BURG RESIDENCE-FORCE","4","4C","1293","01/01/2015","00:17:15"
"1074230","1315","19","AGG ASSAULT","245(A)(1)AWDW-NON-FIREARM","2","2A","0514","01/01/2015","00:16:47"
"1074232","1210","0","ROBBERY","211 PC ROBBERY-PURSE SNATCH","4","4A","0906","01/01/2015","00:20:20"
"1074238","1210","0","ROBBERY","211 PC ROBBERY-PURSE SNATCH","4","4C","1227","01/01/2015","00:19:05"
"1074240","1315","19","AGG ASSAULT","245(A)(1)AWDW-NON-FIREARM","6","6D","1101","01/01/2015","00:14:48"
"1074241","2302","0","LARCENY","487(C) GRAND THEFT-PURSE SNTCH","6","6A","1034","01/01/2015","00:18:23"
"1074244","5213","4","WEAPON OFFENSE","246 PC SHOOT OCCUP DWELL/VEH","1","1C","0419","01/01/2015","00:00:05"
"1074246","1399","4","BATTERY","243(D) BATTERY CIVILIAN W/INJ","1","1C","0406","01/01/2015","00:07:00"
"1074250","1315","19","AGG ASSAULT","245(A)(1)AWDW-NON-FIREARM","2","2C","0567","01/01/2015","00:15:27"
"1074269","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","6","6C","1441","01/02/2015","00:03:00"
"1074277","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","6","6D","1103","01/02/2015","00:00:01"
"1074286","2399","4","LARCENY","484 PETTY THEFT/LICENSE PLATE","5","5C","1642","01/01/2015","00:09:30"
"1074291","1315","19","AGG ASSAULT","245(A)(1)AWDW-NON-FIREARM","1","1B","0353","01/02/2015","00:04:36"
"1074297","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","6","6A","1052","01/02/2015","00:15:30"
"1074300","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","6","6D","0853","01/01/2015","00:16:00"
"1074301","5212","78","WEAPON OFFENSE","29800(A)(1) FELON POSS GUN","1","1C","0449","01/02/2015","00:11:20"
"1074302","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","3","3B","0746","01/02/2015","00:12:30"
"1074304","5404","000","TRAFFIC","23152(A) DUI ALCOHOL","1","1C","0414","01/01/2015","00:10:48"
"1074307","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","5","5B","1399","01/01/2015","00:11:00"
"1074322","2205","1","BURGLARY","459 PC BURG BUSINESS-SHOPLIFT","2","2C","0616","01/02/2015","00:13:37"
"1074323","2404","13","AUTO THEFT","10851 VC AUTO THEFT LOCATE","2","2C","0625","01/02/2015","00:15:00"
